trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-79.32872505165714,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-52.36194348129117,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-67.7796905097376,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,10,-87.96281189819595,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-123.1240108592768,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-110.64175495713405,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-169.91839187903514,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-111.36658914597245,"{0: 14, 1: 8, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-78.50326148204981,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-125.62623074503689,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-105.97231947722136,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,11,-23.87037721976878,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",35,0,-244.9223837096476,"{0: 21, 1: 1, 2: 7, 3: 2, 4: 4}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-270.75873498018734,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 5}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-138.31255241697514,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-240.28124995695566,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-49.54053388003194,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-192.7476397572382,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-130.8659565566507,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-234.4728160325296,"{0: 14, 1: 1, 2: 3, 3: 3, 4: 4}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,4,-12.53939081744475,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-101.3559835612972,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-328.1459135485078,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 5}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-161.2805438114441,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-70.53089251227189,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-23.414544903286547,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-49.02966049947293,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-93.77985126543692,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-77.47189596363629,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-173.03214157294227,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-170.93342452466473,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-59.97028715448518,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-64.75128784071677,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-120.37584659045649,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-164.1670826536382,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-220.95674537877545,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",35,21,-22.152698076988177,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-36.45359588806182,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-40.39029752643493,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-119.84796080540971,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-158.40831343705187,"{0: 11, 1: 8, 2: 3, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-115.7086906798223,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-184.93107978372302,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,5,-43.70975175539779,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-160.19629892796453,"{0: 21, 1: 0, 2: 4, 3: 3, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-88.18105194399469,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-185.5643591889244,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-71.23760760475609,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,0,-255.40468768695666,"{0: 12, 1: 3, 2: 3, 3: 3, 4: 4}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,7,-55.39080986594891,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,16,-3.30595160981383,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-51.183711649842266,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-165.6497282487861,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-64.13814857710709,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,0,-162.50237577445972,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-17.280730920640494,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-102.00027769466286,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-55.29966891522641,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-49.36114867977299,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,11,-117.1221855653253,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,5,-60.58285693715304,"{0: 6, 1: 4, 2: 5, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-93.66547716476055,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-72.52928696225692,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-68.73352563986845,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-86.22478370834654,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-113.20380102848287,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-158.47764894986074,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,1,-33.18133034870824,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-113.3564830566885,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,0,-73.42789833946033,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-137.01371809716068,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,10,-19.123892204024692,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,2,-60.18234901637151,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,15,-2.3068890824139805,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,11,-24.446363625828617,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",35,0,-223.722623638218,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-35.23936762492625,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,0,-93.4656252884908,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,14,-1.8425068615481055,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-8.590571242716631,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,0,-12.890389391156253,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,8,-26.636092977333238,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,12,-21.76896458907928,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",35,0,-98.18118335535738,"{0: 26, 1: 3, 2: 2, 3: 3, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,0,-0.11438195061154754,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,17,-11.932933271502446,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,0,-152.39637702212264,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-53.39236744706793,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,10,-62.836104701238206,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",30,0,-36.73493870425476,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-116.77371274225028,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,12,-22.525107512485697,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,18,-17.659912898051793,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,13,-24.28611586802001,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,12,7.473433218625819,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-102.60489053978216,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,18,6.141317684251765,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-11.743722925505574,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",35,18,-1.9876898312514757,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-104.20274318348767,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,8,-22.080132380500036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,7,-71.34108185406878,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,9,-11.57358837394648,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,14,-6.075379602187576,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",25,9,7.519417437592946,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",30,3,-54.53621562779644,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,0,-22.696739809620237,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",30,19,23.304401472103073,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,16.114364743843893,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,17,-15.360446024968814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,4,-48.02923411698438,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,4,-11.17478322666899,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,8,21.37700893222605,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,17,-9.76809787237914,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,7,-103.71897389545433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 3}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,13,-13.805258386770149,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,2,29.207627521016253,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",30,9,0.11207214366507579,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,11,24.008567451328666,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,13,-30.82452115218205,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,4,24.628278979724207,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,9,-65.98922898527158,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,7,-30.050646513623153,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,13,-38.87104609369058,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,3,-9.834655886255247,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,19,9.456696705674403,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,13,14.184542321909287,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,0,-44.734879345139035,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,6,-37.4554694214882,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,12,0.7302344719763023,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",30,0,-116.67740912382527,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,8,24.608616257680545,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,0,16.089094049385196,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,-7.872808128688842,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
