trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.39980164194841,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.94691278254635,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,18,-80.88955007862349,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.80277476298832,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.0381057880899,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,17,-117.00577920677905,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.79540754002547,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-310.93231715110085,"{0: 13, 1: 9, 2: 8, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-179.74157349573412,"{0: 24, 1: 4, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.303597894572,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.27125741970033,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.95601496087087,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.14995587346635,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.78576622559174,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.4144614842541,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,14,-31.532571761036984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,19,-19.590401720399154,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.224572948229,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.41466264297725,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.22778001196515,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.5570028379906,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-134.44686739646352,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-67.27617798596003,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-197.30656868334873,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-41.831739806848184,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-212.90669676269388,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.21736138852197,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-187.11798244875726,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,4,-119.57805252110691,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.12528108403191,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
